reporting_date,seller_type,source_state,payment_type,total_shipments,total_picked,d0_shipments,d1_shipments,d2_shipments,d2_plus_shipments
20260207,ARL,MAHARASHTRA,pp,1,0,0,0,0,0
20260308,ARL,MAHARASHTRA,pp,1,0,0,0,0,0
20260306,ARL,MAHARASHTRA,pp,1,0,0,0,0,0
20260316,ARL,MAHARASHTRA,pp,3,0,0,0,0,0
20260624,ARL,MAHARASHTRA,pp,1,0,0,0,0,0
20260327,ARL,MAHARASHTRA,pp,1,1,0,1,0,0
20260331,ARL,MAHARASHTRA,pp,1,1,0,1,0,0
20260517,ARL,MAHARASHTRA,pp,1,1,0,1,0,0
20260415,ARL,MAHARASHTRA,pp,1,1,0,1,0,0
20260506,ARL,MAHARASHTRA,pp,1,1,1,0,0,0
20260429,ARL,MAHARASHTRA,pp,1,1,0,1,0,0
20260414,ARL,MAHARASHTRA,pp,2,2,2,0,0,0
20260507,ARL,MAHARASHTRA,pp,2,2,2,0,0,0
20260614,ARL,MAHARASHTRA,pp,2,2,0,0,2,0
20260518,ARL,MAHARASHTRA,pp,2,2,2,0,0,0
20260513,ARL,MAHARASHTRA,pp,3,3,3,0,0,0
20260609,ARL,MAHARASHTRA,pp,3,3,2,1,0,0
20260403,ARL,MAHARASHTRA,pp,5,5,5,0,0,0
20260602,ARL,MAHARASHTRA,pp,5,5,0,5,0,0
20260509,ARL,MAHARASHTRA,pp,6,6,0,6,0,0
20260413,ARL,MAHARASHTRA,pp,10,10,0,10,0,0
20260326,ARL,MAHARASHTRA,pp,26,26,26,0,0,0
20260420,ARL,MAHARASHTRA,pp,26,26,26,0,0,0
20260615,ARL,MAHARASHTRA,pp,29,29,0,20,9,0
20260608,ARL,MAHARASHTRA,pp,42,42,0,3,39,0
20260603,ARL,MAHARASHTRA,pp,43,43,0,43,0,0
20260602,ATI,KARNATAKA,pp,1,0,0,0,0,0
20260520,ATI,HARYANA,pp,1,0,0,0,0,0
20260617,ATI,DELHI,pp,1,0,0,0,0,0
20260605,ATI,KARNATAKA,pp,1,0,0,0,0,0
20260512,ATI,KARNATAKA,pp,1,0,0,0,0,0
20260618,ATI,KARNATAKA,pp,1,0,0,0,0,0
20260619,ATI,KARNATAKA,pp,1,1,1,0,0,0
20260402,AWB,TAMIL NADU,pp,1,0,0,0,0,0
20260203,AWB,MAHARASHTRA,pp,2,0,0,0,0,0
20260312,AWP,UTTAR PRADESH,cod,6,0,0,0,0,0
20260610,AWP,TELANGANA,pp,1,0,0,0,0,0
20260316,AWP,ODISHA,cod,1,0,0,0,0,0
20260521,AWP,CHHATTISGARH,cod,3,0,0,0,0,0
20260313,AWP,JHARKHAND,cod,1,0,0,0,0,0
20260501,AWP,ANDHRA PRADESH,cod,1,0,0,0,0,0
20260322,AWP,HARYANA,cod,2,0,0,0,0,0
20260622,AWP,UTTARAKHAND,cod,1,0,0,0,0,0
20260414,AWP,TELANGANA,cod,1,0,0,0,0,0
20260315,AWP,BIHAR,cod,1,0,0,0,0,0
20260402,AWP,UTTARAKHAND,cod,1,0,0,0,0,0
20260624,AWP,DELHI,pp,11,0,0,0,0,0
20260428,AWP,KARNATAKA,cod,2,0,0,0,0,0
20260411,AWP,CHHATTISGARH,cod,1,0,0,0,0,0
20260408,AWP,MAHARASHTRA,pp,2,0,0,0,0,0
20260317,AWP,UTTAR PRADESH,cod,6,0,0,0,0,0
20260228,AWP,HARYANA,cod,2,0,0,0,0,0
20260526,AWP,RAJASTHAN,cod,3,0,0,0,0,0
20260309,AWP,HARYANA,cod,1,0,0,0,0,0
20260309,AWP,BIHAR,cod,1,0,0,0,0,0
20260323,AWP,HARYANA,cod,33,0,0,0,0,0
20260505,AWP,PUNJAB,pp,1,0,0,0,0,0
20260314,AWP,HARYANA,cod,4,0,0,0,0,0
20260225,AWP,HARYANA,cod,1,0,0,0,0,0
20260326,AWP,RAJASTHAN,cod,1,0,0,0,0,0
20260317,AWP,BIHAR,cod,5,0,0,0,0,0
20260314,AWP,HARYANA,pp,2,0,0,0,0,0
20260313,AWP,HARYANA,pp,1,0,0,0,0,0
20260619,AWP,CHHATTISGARH,cod,7,0,0,0,0,0
20260624,AWP,GUJARAT,cod,7,0,0,0,0,0
20260323,AWP,DELHI,cod,5,0,0,0,0,0
20260314,AWP,UTTAR PRADESH,cod,5,0,0,0,0,0
20260311,AWP,HARYANA,cod,6,0,0,0,0,0
20260321,AWP,HARYANA,pp,2,0,0,0,0,0
20260321,AWP,HARYANA,cod,28,0,0,0,0,0
20260311,AWP,RAJASTHAN,cod,1,0,0,0,0,0
20260321,AWP,DELHI,pp,1,0,0,0,0,0
20260320,AWP,DELHI,cod,1,0,0,0,0,0
20260416,AWP,RAJASTHAN,cod,4,0,0,0,0,0
20260330,AWP,WEST BENGAL,pp,1,0,0,0,0,0
20260623,AWP,CHHATTISGARH,cod,5,0,0,0,0,0
20260509,AWP,KARNATAKA,cod,1,0,0,0,0,0
20260302,AWP,HARYANA,cod,3,0,0,0,0,0
20260623,AWP,TELANGANA,cod,2,0,0,0,0,0
20260325,AWP,RAJASTHAN,cod,3,0,0,0,0,0
20260323,AWP,WEST BENGAL,cod,1,0,0,0,0,0
20260401,AWP,WEST BENGAL,cod,1,0,0,0,0,0
20260324,AWP,UTTARAKHAND,cod,6,0,0,0,0,0
20260323,AWP,WEST BENGAL,pp,1,0,0,0,0,0
20260306,AWP,UTTAR PRADESH,cod,1,0,0,0,0,0
20260528,AWP,RAJASTHAN,cod,5,0,0,0,0,0
20260624,AWP,RAJASTHAN,pp,1,0,0,0,0,0
20260525,AWP,TELANGANA,cod,2,0,0,0,0,0
20260428,AWP,ANDHRA PRADESH,cod,1,0,0,0,0,0
20260528,AWP,RAJASTHAN,pp,1,0,0,0,0,0
20260325,AWP,DELHI,pp,2,0,0,0,0,0
20260624,AWP,DELHI,cod,42,0,0,0,0,0
20260310,AWP,MADHYA PRADESH,cod,1,0,0,0,0,0
20260316,AWP,HARYANA,cod,12,0,0,0,0,0
20260325,AWP,UTTAR PRADESH,cod,3,0,0,0,0,0
20260324,AWP,PUNJAB,cod,1,0,0,0,0,0
20260316,AWP,UTTARAKHAND,cod,2,0,0,0,0,0
20260612,AWP,KARNATAKA,cod,1,0,0,0,0,0
20260322,AWP,UTTARAKHAND,cod,3,0,0,0,0,0
20260624,AWP,ASSAM,cod,2,0,0,0,0,0
20260317,AWP,DELHI,cod,1,0,0,0,0,0
20260522,AWP,MAHARASHTRA,cod,1,0,0,0,0,0
20260503,AWP,PUNJAB,pp,1,0,0,0,0,0
20260417,AWP,TAMIL NADU,cod,1,0,0,0,0,0
20260315,AWP,UTTAR PRADESH,pp,1,0,0,0,0,0
20260511,AWP,WEST BENGAL,pp,1,0,0,0,0,0
20260311,AWP,BIHAR,cod,1,0,0,0,0,0
20260226,AWP,HARYANA,cod,4,0,0,0,0,0
20260310,AWP,BIHAR,cod,2,0,0,0,0,0
20260610,AWP,RAJASTHAN,pp,1,0,0,0,0,0
20260531,AWP,CHHATTISGARH,cod,1,0,0,0,0,0
20260303,AWP,HARYANA,cod,2,0,0,0,0,0
20260324,AWP,RAJASTHAN,cod,1,0,0,0,0,0
20260512,AWP,GUJARAT,pp,1,0,0,0,0,0
20260325,AWP,BIHAR,cod,2,0,0,0,0,0
20260516,AWP,MAHARASHTRA,cod,1,0,0,0,0,0
20260227,AWP,HARYANA,cod,1,0,0,0,0,0
20260310,AWP,UTTAR PRADESH,cod,3,0,0,0,0,0
20260507,AWP,TELANGANA,pp,1,0,0,0,0,0
20260311,AWP,UTTAR PRADESH,cod,4,0,0,0,0,0
20260317,AWP,HARYANA,cod,1,0,0,0,0,0
20260624,AWP,TELANGANA,pp,1,0,0,0,0,0
20260305,AWP,HARYANA,cod,4,0,0,0,0,0
20260618,AWP,WEST BENGAL,pp,1,0,0,0,0,0
20260613,AWP,TELANGANA,cod,1,0,0,0,0,0
20260526,AWP,WEST BENGAL,pp,2,0,0,0,0,0
20260419,AWP,TELANGANA,cod,1,0,0,0,0,0
20260306,AWP,MADHYA PRADESH,cod,1,0,0,0,0,0
20260324,AWP,HARYANA,cod,37,0,0,0,0,0
20260313,AWP,HARYANA,cod,26,0,0,0,0,0
20260518,AWP,RAJASTHAN,pp,1,0,0,0,0,0
20260427,AWP,ANDHRA PRADESH,cod,1,0,0,0,0,0
20260318,AWP,HARYANA,cod,15,0,0,0,0,0
20260318,AWP,UTTARAKHAND,cod,2,0,0,0,0,0
20260422,AWP,MAHARASHTRA,pp,2,0,0,0,0,0
20260423,AWP,MAHARASHTRA,cod,1,0,0,0,0,0
20260325,AWP,GUJARAT,cod,1,0,0,0,0,0
20260324,AWP,KARNATAKA,cod,1,0,0,0,0,0
20260509,AWP,TELANGANA,cod,1,0,0,0,0,0
20260505,AWP,ANDHRA PRADESH,cod,5,0,0,0,0,0
20260324,AWP,HARYANA,pp,4,0,0,0,0,0
20260324,AWP,RAJASTHAN,pp,2,0,0,0,0,0
20260315,AWP,HARYANA,cod,9,0,0,0,0,0
20260624,AWP,MADHYA PRADESH,cod,18,0,0,0,0,0
20260323,AWP,HARYANA,pp,5,0,0,0,0,0
20260624,AWP,TELANGANA,cod,2,0,0,0,0,0
20260624,AWP,KARNATAKA,cod,1,0,0,0,0,0
20260325,AWP,HARYANA,pp,5,0,0,0,0,0
20260624,AWP,ASSAM,pp,1,0,0,0,0,0
20260228,AWP,UTTAR PRADESH,cod,2,0,0,0,0,0
20260422,AWP,JHARKHAND,cod,2,0,0,0,0,0
20260624,AWP,HARYANA,pp,67,0,0,0,0,0
20260624,AWP,WEST BENGAL,cod,8,0,0,0,0,0
20260624,AWP,BIHAR,pp,6,0,0,0,0,0
20260624,AWP,UTTAR PRADESH,pp,7,0,0,0,0,0
20260624,AWP,BIHAR,cod,59,0,0,0,0,0
20260312,AWP,HARYANA,cod,4,0,0,0,0,0
20260321,AWP,DELHI,cod,1,0,0,0,0,0
20260624,AWP,UTTAR PRADESH,cod,26,0,0,0,0,0
20260408,AWP,DELHI,pp,10,0,0,0,0,0
20260430,AWP,ANDHRA PRADESH,pp,1,0,0,0,0,0
20260410,AWP,RAJASTHAN,cod,1,0,0,0,0,0
20260319,AWP,HARYANA,cod,1,0,0,0,0,0
20260504,AWP,ANDHRA PRADESH,cod,1,0,0,0,0,0
20260320,AWP,HARYANA,cod,11,0,0,0,0,0
20260502,AWP,PUNJAB,cod,2,0,0,0,0,0
20260623,AWP,GUJARAT,pp,1,0,0,0,0,0
20260302,AWP,UTTAR PRADESH,cod,15,0,0,0,0,0
20260501,AWP,PUNJAB,cod,1,0,0,0,0,0
20260309,AWP,UTTAR PRADESH,cod,1,0,0,0,0,0
20260323,AWP,RAJASTHAN,cod,6,0,0,0,0,0
20260316,AWP,UTTAR PRADESH,cod,3,0,0,0,0,0
20260324,AWP,DELHI,cod,5,0,0,0,0,0
20260407,AWP,MAHARASHTRA,pp,1,0,0,0,0,0
20260319,AWP,RAJASTHAN,cod,2,0,0,0,0,0
20260317,AWP,RAJASTHAN,cod,1,0,0,0,0,0
20260525,AWP,KARNATAKA,cod,1,0,0,0,0,0
20260429,AWP,ANDHRA PRADESH,cod,4,0,0,0,0,0
20260325,AWP,HARYANA,cod,47,0,0,0,0,0
20260315,AWP,UTTAR PRADESH,cod,3,0,0,0,0,0
20260308,AWP,HARYANA,cod,1,0,0,0,0,0
20260322,AWP,DELHI,pp,1,0,0,0,0,0
20260311,AWP,UTTARAKHAND,cod,1,0,0,0,0,0
20260416,AWP,MAHARASHTRA,cod,1,0,0,0,0,0
20260224,AWP,HARYANA,cod,1,0,0,0,0,0
20260506,AWP,ANDHRA PRADESH,cod,2,0,0,0,0,0
20260418,AWP,MAHARASHTRA,cod,1,0,0,0,0,0
20260321,AWP,UTTARAKHAND,cod,2,0,0,0,0,0
20260321,AWP,UTTARAKHAND,pp,1,0,0,0,0,0
20260318,AWP,DELHI,pp,1,0,0,0,0,0
20260305,AWP,BIHAR,cod,3,0,0,0,0,0
20260624,AWP,HARYANA,cod,222,0,0,0,0,0
20260304,AWP,HARYANA,cod,1,0,0,0,0,0
20260312,AWP,UTTARAKHAND,cod,3,0,0,0,0,0
20260623,AWP,WEST BENGAL,pp,1,0,0,0,0,0
20260505,AWP,PUNJAB,cod,3,0,0,0,0,0
20260306,AWP,HARYANA,cod,5,0,0,0,0,0
20260325,AWP,WEST BENGAL,cod,2,0,0,0,0,0
20260308,AWP,BIHAR,cod,1,0,0,0,0,0
20260624,AWP,WEST BENGAL,pp,1,0,0,0,0,0
20260503,AWP,ANDHRA PRADESH,cod,1,0,0,0,0,0
20260429,AWP,PUNJAB,cod,4,0,0,0,0,0
20260624,AWP,MAHARASHTRA,cod,1,0,0,0,0,0
20260319,AWP,UTTARAKHAND,cod,1,0,0,0,0,0
20260512,AWP,KARNATAKA,cod,1,0,0,0,0,0
20260325,AWP,ASSAM,cod,2,0,0,0,0,0
20260611,AWP,ASSAM,pp,1,0,0,0,0,0
20260522,AWP,DELHI,pp,1,0,0,0,0,0
20260428,AWP,PUNJAB,cod,1,0,0,0,0,0
20260320,AWP,GUJARAT,cod,1,0,0,0,0,0
20260504,AWP,PUNJAB,cod,5,0,0,0,0,0
20260402,AWP,BIHAR,pp,1,0,0,0,0,0
20260428,AWP,UTTAR PRADESH,pp,1,0,0,0,0,0
20260310,AWP,HARYANA,cod,9,0,0,0,0,0
20260325,AWP,DELHI,cod,3,0,0,0,0,0
20260322,AWP,HARYANA,pp,3,0,0,0,0,0
20260319,AWP,HARYANA,pp,1,0,0,0,0,0
20260416,AWP,TAMIL NADU,pp,1,0,0,0,0,0
20260521,AWP,WEST BENGAL,pp,1,0,0,0,0,0
20260506,AWP,WEST BENGAL,pp,3,0,0,0,0,0
20260624,AWP,RAJASTHAN,cod,6,0,0,0,0,0
20260323,AWP,DELHI,pp,2,0,0,0,0,0
20260307,AWP,HARYANA,cod,8,0,0,0,0,0
20260624,AWP,MADHYA PRADESH,pp,12,0,0,0,0,0
20260322,AWP,DELHI,cod,1,0,0,0,0,0
20260427,AWP,ANDHRA PRADESH,pp,1,0,0,0,0,0
20260314,AWP,BIHAR,cod,1,0,0,0,0,0
20260307,AWP,HARYANA,pp,3,0,0,0,0,0
20260607,AWP,BIHAR,pp,1,1,1,0,0,0
20260407,AWP,CHHATTISGARH,cod,1,1,1,0,0,0
20260609,AWP,MAHARASHTRA,pp,1,1,0,1,0,0
20260522,AWP,ASSAM,pp,1,1,0,1,0,0
20260330,AWP,RAJASTHAN,pp,1,1,0,0,1,0
20260413,AWP,MADHYA PRADESH,pp,2,1,1,0,0,0
20260604,AWP,TELANGANA,cod,1,1,1,0,0,0
20260421,AWP,CHHATTISGARH,cod,1,1,1,0,0,0
20260529,AWP,ASSAM,cod,2,1,0,1,0,0
20260611,AWP,CHHATTISGARH,cod,1,1,0,1,0,0
20260505,AWP,TELANGANA,pp,1,1,1,0,0,0
20260519,AWP,TELANGANA,pp,1,1,0,0,1,0
20260402,AWP,RAJASTHAN,pp,1,1,1,0,0,0
20260601,AWP,TELANGANA,pp,1,1,0,1,0,0
20260408,AWP,WEST BENGAL,cod,1,1,0,1,0,0
20260330,AWP,BIHAR,pp,1,1,0,1,0,0
20260604,AWP,WEST BENGAL,pp,1,1,1,0,0,0
20260602,AWP,MAHARASHTRA,cod,1,1,1,0,0,0
20260416,AWP,RAJASTHAN,pp,1,1,1,0,0,0
20260413,AWP,RAJASTHAN,pp,1,1,1,0,0,0
20260618,AWP,GUJARAT,cod,1,1,1,0,0,0
20260507,AWP,TELANGANA,cod,1,1,0,0,1,0
20260524,AWP,MAHARASHTRA,cod,2,1,0,0,1,0
20260428,AWP,ASSAM,pp,1,1,1,0,0,0
20260614,AWP,GUJARAT,pp,1,1,0,1,0,0
20260601,AWP,MAHARASHTRA,pp,1,1,1,0,0,0
20260617,AWP,RAJASTHAN,pp,1,1,1,0,0,0
20260614,AWP,MAHARASHTRA,cod,1,1,0,1,0,0
20260501,AWP,ASSAM,pp,1,1,1,0,0,0
20260507,AWP,WEST BENGAL,pp,1,1,0,1,0,0
20260410,AWP,RAJASTHAN,pp,1,1,1,0,0,0
20260601,AWP,TAMIL NADU,pp,1,1,1,0,0,0
20260601,AWP,RAJASTHAN,pp,1,1,0,1,0,0
20260501,AWP,RAJASTHAN,pp,1,1,0,1,0,0
20260612,AWP,GUJARAT,cod,1,1,0,1,0,0
20260416,AWP,KARNATAKA,cod,1,1,1,0,0,0
20260403,AWP,RAJASTHAN,cod,1,1,1,0,0,0
20260620,AWP,KARNATAKA,cod,1,1,0,0,1,0
20260614,AWP,TELANGANA,cod,1,1,0,0,1,0
20260406,AWP,RAJASTHAN,pp,1,1,1,0,0,0
20260514,AWP,WEST BENGAL,pp,1,1,0,0,1,0
20260419,AWP,MADHYA PRADESH,pp,2,1,0,1,0,0
20260613,AWP,RAJASTHAN,pp,1,1,1,0,0,0
20260415,AWP,PUNJAB,cod,1,1,0,1,0,0
20260501,AWP,WEST BENGAL,cod,1,1,1,0,0,0
20260529,AWP,WEST BENGAL,pp,1,1,1,0,0,0
20260420,AWP,DELHI,pp,1,1,0,1,0,0
20260429,AWP,MAHARASHTRA,cod,4,1,0,0,1,0
20260522,AWP,GUJARAT,cod,1,1,1,0,0,0
20260406,AWP,MADHYA PRADESH,cod,1,1,1,0,0,0
20260601,AWP,ODISHA,cod,1,1,0,1,0,0
20260504,AWP,MAHARASHTRA,cod,1,1,1,0,0,0
20260601,AWP,BIHAR,pp,1,1,0,1,0,0
20260427,AWP,RAJASTHAN,cod,1,1,1,0,0,0
20260617,AWP,MAHARASHTRA,pp,1,1,0,1,0,0
20260529,AWP,DELHI,pp,1,1,0,0,1,0
20260524,AWP,GUJARAT,pp,1,1,0,1,0,0
20260501,AWP,DELHI,pp,1,1,0,1,0,0
20260329,AWP,RAJASTHAN,cod,1,1,0,0,1,0
20260517,AWP,RAJASTHAN,pp,1,1,0,1,0,0
20260330,AWP,WEST BENGAL,cod,1,1,1,0,0,0
20260413,AWP,WEST BENGAL,cod,1,1,1,0,0,0
20260525,AWP,CHHATTISGARH,cod,1,1,1,0,0,0
20260408,AWP,WEST BENGAL,pp,1,1,0,0,1,0
20260403,AWP,MAHARASHTRA,cod,2,1,0,1,0,0
20260404,AWP,MAHARASHTRA,pp,1,1,0,0,1,0
20260623,AWP,UTTAR PRADESH,pp,3,1,1,0,0,0
20260618,AWP,MAHARASHTRA,pp,1,1,0,0,1,0
20260505,AWP,MAHARASHTRA,pp,1,1,0,1,0,0
20260616,AWP,CHHATTISGARH,cod,2,1,1,0,0,0
20260622,AWP,TELANGANA,pp,1,1,0,1,0,0
20260620,AWP,MAHARASHTRA,cod,1,1,0,0,1,0
20260613,AWP,ASSAM,pp,1,1,1,0,0,0
20260513,AWP,WEST BENGAL,cod,4,1,0,1,0,0
20260329,AWP,UTTARAKHAND,cod,1,1,0,0,1,0
20260511,AWP,DELHI,pp,1,1,1,0,0,0
20260429,AWP,TAMIL NADU,cod,1,1,0,0,1,0
20260618,AWP,WEST BENGAL,cod,7,1,0,0,1,0
20260605,AWP,TELANGANA,cod,1,1,0,1,0,0
20260403,AWP,WEST BENGAL,cod,1,1,1,0,0,0
20260617,AWP,CHHATTISGARH,cod,3,1,0,1,0,0
20260415,AWP,ASSAM,cod,1,1,0,1,0,0
20260327,AWP,GUJARAT,cod,1,1,1,0,0,0
20260619,AWP,CHHATTISGARH,pp,1,1,0,1,0,0
20260605,AWP,MAHARASHTRA,cod,1,1,0,1,0,0
20260620,AWP,GUJARAT,cod,1,1,1,0,0,0
20260329,AWP,MADHYA PRADESH,cod,1,1,0,0,1,0
20260426,AWP,TELANGANA,cod,1,1,0,1,0,0
20260528,AWP,GUJARAT,pp,1,1,0,0,1,0
20260623,AWP,MAHARASHTRA,cod,5,1,1,0,0,0
20260605,AWP,CHHATTISGARH,cod,1,1,0,1,0,0
20260608,AWP,WEST BENGAL,pp,1,1,1,0,0,0
20260326,AWP,UTTAR PRADESH,pp,1,1,1,0,0,0
20260422,AWP,UTTARAKHAND,pp,1,1,1,0,0,0
20260416,AWP,MADHYA PRADESH,pp,2,1,1,0,0,0
20260501,AWP,WEST BENGAL,pp,1,1,1,0,0,0
20260505,AWP,MADHYA PRADESH,pp,1,1,0,1,0,0
20260327,AWP,MADHYA PRADESH,cod,1,1,0,1,0,0
20260505,AWP,TELANGANA,cod,1,1,1,0,0,0
20260419,AWP,DELHI,pp,1,1,0,1,0,0
20260529,AWP,RAJASTHAN,pp,1,1,0,0,1,0
20260427,AWP,DELHI,pp,1,1,1,0,0,0
20260514,AWP,MAHARASHTRA,cod,2,1,1,0,0,0
20260402,AWP,GUJARAT,cod,1,1,0,1,0,0
20260424,AWP,MAHARASHTRA,pp,2,1,0,0,1,0
20260501,AWP,GUJARAT,cod,1,1,0,1,0,0
20260611,AWP,ASSAM,cod,1,1,1,0,0,0
20260420,AWP,TELANGANA,cod,1,1,0,1,0,0
20260407,AWP,UTTAR PRADESH,pp,1,1,1,0,0,0
20260602,AWP,MAHARASHTRA,pp,1,1,1,0,0,0
20260607,AWP,MAHARASHTRA,cod,3,1,0,0,1,0
20260503,AWP,DELHI,pp,1,1,0,1,0,0
20260425,AWP,MAHARASHTRA,pp,1,1,0,0,1,0
20260605,AWP,ASSAM,pp,1,1,0,1,0,0
20260525,AWP,RAJASTHAN,pp,1,1,0,1,0,0
20260502,AWP,DELHI,pp,1,1,1,0,0,0
20260505,AWP,ASSAM,cod,1,1,0,1,0,0
20260417,AWP,ASSAM,cod,1,1,1,0,0,0
20260404,AWP,MADHYA PRADESH,cod,1,1,0,0,1,0
20260621,AWP,GUJARAT,pp,1,1,0,1,0,0
20260417,AWP,KARNATAKA,cod,1,1,1,0,0,0
20260330,AWP,UTTAR PRADESH,pp,1,1,0,0,1,0
20260409,AWP,PUNJAB,cod,1,1,1,0,0,0
20260405,AWP,MAHARASHTRA,pp,1,1,0,1,0,0
20260606,AWP,MAHARASHTRA,cod,1,1,0,0,1,0
20260530,AWP,MAHARASHTRA,cod,1,1,0,0,1,0
20260414,AWP,MAHARASHTRA,pp,1,1,1,0,0,0
20260602,AWP,RAJASTHAN,pp,1,1,1,0,0,0
20260409,AWP,GUJARAT,cod,1,1,1,0,0,0
20260615,AWP,TELANGANA,pp,1,1,0,1,0,0
20260415,AWP,KARNATAKA,cod,2,1,0,1,0,0
20260503,AWP,WEST BENGAL,cod,1,1,1,0,0,0
20260415,AWP,MAHARASHTRA,pp,1,1,0,1,0,0
20260620,AWP,WEST BENGAL,pp,1,1,0,0,1,0
20260531,AWP,WEST BENGAL,pp,1,1,0,1,0,0
20260326,AWP,UTTARAKHAND,cod,1,1,0,1,0,0
20260524,AWP,RAJASTHAN,pp,1,1,0,1,0,0
20260524,AWP,TELANGANA,cod,1,1,0,0,1,0
20260514,AWP,UTTARAKHAND,pp,1,1,0,1,0,0
20260502,AWP,MAHARASHTRA,pp,1,1,0,0,1,0
20260419,AWP,UTTAR PRADESH,pp,1,1,1,0,0,0
20260531,AWP,GUJARAT,pp,1,1,0,1,0,0
20260326,AWP,DELHI,cod,1,1,0,1,0,0
20260424,AWP,TELANGANA,cod,1,1,0,0,1,0
20260620,AWP,ASSAM,pp,1,1,0,0,1,0
20260527,AWP,MAHARASHTRA,pp,1,1,1,0,0,0
20260520,AWP,ASSAM,cod,1,1,0,1,0,0
20260508,AWP,ASSAM,cod,1,1,1,0,0,0
20260428,AWP,UTTARAKHAND,pp,1,1,0,1,0,0
20260423,AWP,GUJARAT,pp,1,1,0,1,0,0
20260611,AWP,TELANGANA,cod,1,1,1,0,0,0
20260410,AWP,WEST BENGAL,pp,1,1,1,0,0,0
