reporting_date,destination_state,seller_type,payment_type,PHin,conv_num,fm_created,fm_picked,fm_d0_picked,zero_attempt_num,zero_attempt_denom,DHin,D0_OFD,First_attempt_delivered,fac_deno,total_delivered_attempts,total_attempts,rfr_num,rfr_deno,Breach_Num,Breach_Den,breach_plus1_num
20260707,UTTARAKHAND,BSS,cod,1,1,,,,2,2,,,,,,,,,0,3,0
20260508,RAJASTHAN,SWL,pp,1,1,,,,,,,,,,,,,,,,
20260701,TELANGANA,RHY,pp,1,1,,,,,,,,,,,,,,0,1,0
20260602,ODISHA,NEX,pp,1,0,,,,,,,,,,,,,,,,
20260602,ASSAM,SWE,pp,1,1,,,,,,,,,,,,,,,,
20260605,MEGHALAYA,MSR,cod,1,1,,,,,,,,,,,,,,,,
20260517,"",IBH,cod,1,1,,,,,,,,,,,,,,,,
20260606,DELHI,IGS,pp,2,2,,,,,,,,,,,,,,,,
20260609,MANIPUR,ESA,cod,1,1,,,,,,,,,,,,,,,,
20260414,JAMMU AND KASHMIR,TEL,pp,1,1,,,,,,,,,,,,,,,,
20260428,TELANGANA,ZCQ,pp,1,1,,,,,,,,,,,,,,,,
20260526,UTTARAKHAND,SDD,cod,1,1,,,,,,,,,,,,,,,,
20260513,TELANGANA,NEX,pp,3,3,,,,,,,,,,,,,,,,
20260420,MADHYA PRADESH,LOS,pp,1,1,,,,,,1,0,,,,,,,,,
20260425,MAHARASHTRA,EPL,pp,1,1,,,,,,,,,,,,,,,,
20260515,WEST BENGAL,RLL,cod,1,1,,,,,,,,,,,,,,,,
20260625,GUJARAT,SWT,pp,1,1,,,,,,,,,,,,,,0,1,0
20260514,GUJARAT,PRH,cod,1,1,,,,,,,,,,,,,,,,
20260612,ASSAM,LUA,cod,2,1,,,,,,,,,,,,,,,,
20260428,GOA,LSR,cod,1,1,,,,,,,,,,,,,,,,
20260420,TAMIL NADU,LSR,cod,1,0,,,,,,,,,,,,,,,,
20260705,PUNJAB,PRH,pp,2,2,,,,,,1,0,,,,,,,1,1,1
20260414,UTTARAKHAND,ARL,pp,1,1,,,,,,,,,,,,,,,,
20260519,,KIC,cod,1,0,,,,,,,,,,,,,,,,
20260514,JAMMU AND KASHMIR,LOI,pp,2,2,,,,,,,,,,,,,,,,
20260602,MADHYA PRADESH,EPL,pp,1,1,,,,,,,,,,,,,,,,
20260601,RAJASTHAN,ZAA,cod,2,2,,,,,,,,,,,,,,,,
20260512,DELHI,INW,cod,2,2,,,,0,2,,,,,,,,,,,
20260616,HARYANA,SWL,pp,1,1,,,,,,,,,,,,,,,,
20260425,ANDHRA PRADESH,NEX,cod,2,1,,,,,,,,,,,,,,,,
20260610,,MSR,pp,2,2,,,,,,,,,,,,,,,,
20260703,KERALA,PBR,pp,1,1,,,,,,,,,,,,,,,,
20260624,JAMMU AND KASHMIR,BHH,cod,1,0,,,,,,,,,,,,,,,,
20260521,CHANDIGARH,MSR,pp,1,1,,,,,,,,,,,,,,,,
20260416,RAJASTHAN,RLL,pp,2,2,,,,,,,,,,,,,,,,
20260522,MADHYA PRADESH,SWT,pp,1,1,,,,,,,,,,,,,,0,1,0
20260710,TAMIL NADU,NAH,pp,1,0,,,,,,,,,,,,,,,,
20260518,PUNJAB,RLL,pp,2,2,,,,,,,,,,,,,,,,
20260711,ODISHA,KIC,pp,1,0,,,,,,,,,,,,,,,,
20260429,JHARKHAND,IBH,pp,2,2,,,,,,,,,,,,,,,,
20260421,MAHARASHTRA,SWL,pp,5,5,,,,1,1,,,,,,,,,,,
20260515,GOA,INW,cod,1,0,,,,,,,,,,,,,,,,
20260619,GOA,ESA,pp,1,1,,,,,,,,,,,,,,,,
20260513,HIMACHAL PRADESH,MSR,cod,1,1,,,,,,,,,,,,,,1,2,1
20260417,CHANDIGARH,KPI,pp,1,0,,,,,,,,,,,,,,,,
20260514,MAHARASHTRA,SDD,cod,1,1,,,,,,,,,,,,,,,,
20260612,TELANGANA,RHY,pp,1,1,,,,,,,,,,,,,,,,
20260425,SIKKIM,SDD,pp,1,1,,,,,,,,,,,,,,,,
20260518,GUJARAT,ESL,pp,1,1,,,,,,,,,,,,,,,,
20260627,CHANDIGARH,DBL,pp,1,1,,,,,,,,,,,,,,,,
20260604,CHHATTISGARH,RSL,pp,1,1,,,,,,,,,,,,,,,,
20260619,UTTARAKHAND,PRE,pp,1,1,,,,,,,,,,,,,,,,
20260515,GUJARAT,MOH,pp,4,4,,,,,,,,,,,,,,,,
20260509,NAGALAND,FLO,cod,1,1,,,,,,,,,,,,,,,,
20260703,JAMMU AND KASHMIR,TEL,pp,1,1,,,,,,,,,,,,,,,,
20260705,HIMACHAL PRADESH,FCL,cod,1,0,,,,,,1,0,,,,,,,0,3,0
20260706,JHARKHAND,TEL,cod,1,0,,,,,,,,,,,,,,,,
20260425,KARNATAKA,TEL,pp,3,3,,,,1,1,,,,,,,,,0,1,0
20260703,MANIPUR,SWE,pp,1,0,,,,,,,,,,,,,,,,
20260624,CHHATTISGARH,WZO,pp,1,1,,,,,,,,,,,,,,,,
20260517,MANIPUR,SOL,cod,1,0,,,,,,,,,,,,,,,,
20260421,MAHARASHTRA,KIC,pp,1,1,,,,,,1,0,,,,,,,,,
20260425,GOA,SWT,pp,1,1,,,,,,,,,,,,,,,,
20260603,GUJARAT,RSL,pp,1,1,,,,,,,,,,,,,,,,
20260420,RAJASTHAN,LOI,cod,2,2,,,,,,,,,,,,,,,,
20260707,DELHI,BSS,cod,1,1,,,,,,,,,,,,,,,,
20260427,CHHATTISGARH,IOH,pp,2,2,,,,,,,,,,,,,,0,5,0
20260430,TRIPURA,LOS,pp,1,1,,,,,,,,,,,,,,,,
20260422,MANIPUR,SDD,cod,1,1,,,,,,,,,,,,,,,,
20260528,WEST BENGAL,PRH,cod,1,0,,,,,,,,,,,,,,,,
20260614,MEGHALAYA,ESA,pp,1,1,,,,,,,,,,,,,,,,
20260528,KERALA,LSR,cod,1,0,,,,,,1,0,,,,,,,,,
20260616,ODISHA,SDD,cod,2,2,,,,,,,,,,,,,,,,
20260604,DELHI,LSR,pp,1,0,,,,,,,,,,,,,,,,
20260525,MEGHALAYA,SDD,cod,1,1,,,,,,,,,,,,,,,,
20260530,ANDHRA PRADESH,ZAO,cod,1,1,,,,,,,,,,,,,,,,
20260621,NAGALAND,FCL,pp,1,1,,,,,,4,0,,,,,,,4,5,0
20260528,NAGALAND,LUA,cod,1,1,,,,,,,,,,,,,,,,
20260423,PUNJAB,RSL,pp,1,1,,,,,,,,,,,,,,,,
20260605,PUNJAB,BGH,pp,2,2,,,,,,,,,,,,,,0,1,0
20260605,TAMIL NADU,RSL,cod,1,0,,,,,,1,0,,,,,,,,,
20260521,KARNATAKA,ESL,pp,1,1,,,,,,1,0,,,,,,,,,
20260427,DELHI,CUM,pp,1,1,,,,,,,,,,,,,,,,
20260521,MANIPUR,LOS,pp,1,0,,,,,,,,,,,,,,,,
20260609,CHHATTISGARH,LOS,pp,1,1,,,,,,,,,,,,,,0,1,0
20260608,ASSAM,LOS,pp,1,1,,,,,,,,,,,,,,,,
20260428,BIHAR,ZAA,cod,1,1,,,,,,,,,,,,,,,,
20260528,PUDUCHERRY,EML,pp,1,1,,,,,,,,,,,,,,,,
20260430,ODISHA,SDD,pp,1,1,,,,,,,,,,,,,,,,
20260707,MANIPUR,TEL,pp,1,0,,,,1,1,,,,,,,,,,,
20260429,,PRH,cod,1,1,,,,,,,,,,,,,,,,
20260527,GUJARAT,LOS,pp,1,1,,,,,,,,,,,,,,,,
20260512,KARNATAKA,EPL,cod,1,1,,,,,,,,,,,,,,,,
20260510,DAMAN AND DIU DADRA AND NAGAR HAVELI,HBL,pp,1,0,,,,,,,,,,,,,,,,
20260429,KERALA,BSS,pp,1,1,,,,,,,,,,,,,,,,
20260418,HARYANA,AWP,pp,10,10,,,,,,9,0,,,,,,,,,
20260506,GUJARAT,ZAA,cod,5,5,,,,,,,,,,,,,,,,
20260622,BIHAR,WZO,pp,1,1,,,,,,,,,,,,,,,,
20260711,HIMACHAL PRADESH,IGS,pp,2,0,,,,,,,,,,,,,,0,1,0
20260505,MADHYA PRADESH,SOL,cod,4,4,,,,,,,,,,,,,,,,
20260620,KARNATAKA,BGH,pp,2,1,,,,,,1,0,,,,,,,,,
20260531,GUJARAT,SWL,cod,1,1,,,,,,,,,,,,,,,,
20260707,PUDUCHERRY,UNC,pp,1,1,,,,,,,,,,,,,,,,
20260414,ASSAM,NEX,cod,6,6,,,,,,,,,,,,,,,,
20260415,ASSAM,UNC,pp,4,4,,,,,,1,0,,,,,,,0,1,0
20260605,RAJASTHAN,IOH,pp,1,1,,,,,,1,0,,,,,,,,,
20260610,GOA,BSS,cod,1,1,,,,,,,,,,,,,,,,
20260611,HIMACHAL PRADESH,IOH,pp,1,1,,,,,,,,,,,,,,,,
20260514,KARNATAKA,RLL,cod,4,2,,,,,,,,,,,,,,,,
20260604,TELANGANA,NEX,cod,1,1,,,,,,,,,,,,,,,,
20260702,ANDHRA PRADESH,LOS,pp,2,2,,,,,,,,,,,,,,0,1,0
20260511,UTTARAKHAND,RSL,pp,1,1,,,,,,,,,,,,,,,,
20260608,DELHI,XIH,pp,1,1,,,,,,,,,,,,,,,,
20260709,,DBL,pp,1,0,,,,,,,,,,,,,,,,
20260424,CHANDIGARH,SWT,pp,1,1,,,,,,,,,,,,,,0,1,0
20260615,PUDUCHERRY,PRE,pp,2,2,,,,,,,,,,,,,,,,
20260515,ANDHRA PRADESH,LSR,pp,1,1,,,,,,,,,,,,,,0,1,0
20260520,BIHAR,TEL,pp,2,2,,,,1,1,,,,,,,,,,,
20260707,MADHYA PRADESH,LSR,pp,1,0,,,,,,,,,,,,,,,,
20260706,CHANDIGARH,BBO,pp,1,1,,,,,,,,,,,,,,,,
20260420,ODISHA,SDD,cod,1,1,,,,,,,,,,,,,,,,
20260420,KARNATAKA,SDD,cod,2,2,,,,,,,,,,,,,,,,
20260502,MADHYA PRADESH,SDD,pp,1,1,,,,,,,,,,,,,,,,
20260506,UTTARAKHAND,LUA,pp,1,1,,,,,,1,0,,,,,,,,,
20260610,JHARKHAND,BGH,pp,1,1,,,,1,1,,,,,,,,,,,
20260514,MEGHALAYA,LOI,pp,1,1,,,,,,,,,,,,,,,,
20260528,KERALA,WZO,pp,3,3,,,,,,,,,,,,,,,,
20260527,JHARKHAND,TEL,cod,1,1,,,,,,1,0,,,,,,,,,
20260621,UTTAR PRADESH,EML,pp,1,1,,,,,,,,,,,,,,0,3,0
20260414,JAMMU AND KASHMIR,ZAA,cod,1,0,,,,,,,,,,,,,,,,
20260709,JHARKHAND,SWE,pp,1,0,,,,,,,,,,,,,,,,
20260430,,FCL,cod,1,1,,,,,,,,,,,,,,,,
20260526,DAMAN AND DIU DADRA AND NAGAR HAVELI,PRE,pp,1,1,,,,,,,,,,,,,,,,
20260506,CHANDIGARH,FCL,pp,1,1,,,,,,,,,,,,,,,,
20260418,TELANGANA,AWP,pp,1,0,,,,,,,,,,,,,,,,
20260702,CHHATTISGARH,RSL,pp,1,1,,,,,,1,0,,,,,,,0,1,0
20260607,TELANGANA,DBL,pp,1,1,,,,,,,,,,,,,,,,
20260516,ODISHA,TEL,pp,1,1,,,,,,1,0,,,,,,,,,
20260608,UTTARAKHAND,RSL,cod,1,0,,,,,,,,,,,,,,,,
20260513,HIMACHAL PRADESH,LUA,cod,1,1,,,,,,,,,,,,,,0,1,0
20260610,CHHATTISGARH,KIC,pp,1,1,,,,,,,,,,,,,,,,
20260511,JAMMU AND KASHMIR,FCL,cod,1,1,,,,,,,,,,,,,,,,
20260611,TAMIL NADU,UNC,pp,2,2,,,,,,,,,,,,,,0,1,0
20260506,MIZORAM,SOL,cod,3,3,,,,1,1,,,,,,,,,0,6,0
20260520,BIHAR,RLL,cod,1,1,,,,,,,,,,,,,,,,
20260529,TELANGANA,EML,pp,2,2,,,,,,,,,,,,,,,,
20260530,JHARKHAND,UNC,pp,2,2,,,,,,,,,,,,,,0,8,0
20260620,GOA,RLL,pp,1,1,,,,,,,,,,,,,,,,
20260510,TAMIL NADU,LUA,cod,1,1,,,,,,3,0,,,,,,,,,
20260620,ARUNACHAL PRADESH,PRE,pp,1,1,,,,,,,,,,,,,,,,
20260509,RAJASTHAN,EMB,cod,1,1,,,,,,1,0,,,,,,,,,
20260419,GUJARAT,DFX,pp,1,1,,,,,,1,0,,,,,,,0,1,0
20260515,CHANDIGARH,SDD,pp,1,1,,,,,,,,,,,,,,,,
20260626,JAMMU AND KASHMIR,BGH,pp,1,1,,,,,,,,,,,,,,,,
20260513,KERALA,PRH,cod,1,1,,,,,,1,0,,,,,,,0,1,0
20260511,ODISHA,IBH,cod,1,0,,,,,,,,,,,,,,,,
20260527,UTTAR PRADESH,LOS,pp,1,1,,,,,,,,,,,,,,,,
20260624,"",TEL,pp,1,1,,,,,,,,,,,,,,,,
20260628,BIHAR,LOS,pp,1,1,,,,,,,,,,,,,,,,
20260416,GUJARAT,UNC,pp,13,13,,,,,,,,,,,,,,,,
20260418,,ESA,pp,1,1,,,,,,,,,,,,,,,,
20260421,MADHYA PRADESH,SWT,pp,1,1,,,,1,1,1,0,,,,,,,,,
20260628,,FCL,cod,2,1,,,,,,,,,,,,,,,,
20260709,UTTARAKHAND,LOI,pp,1,0,,,,,,1,0,,,,,,,,,
20260427,MEGHALAYA,MOH,cod,1,0,,,,,,,,,,,,,,,,
20260524,NAGALAND,INW,pp,5,5,,,,,,2,0,,,,,,,,,
20260611,ODISHA,IBH,pp,2,2,,,,,,,,,,,,,,,,
20260516,JHARKHAND,LSR,pp,1,1,,,,,,,,,,,,,,,,
20260620,GUJARAT,AWP,cod,3,3,,,,,,10,0,,,,,,,,,
20260610,PUNJAB,INW,cod,1,1,,,,,,,,,,,,,,0,1,0
20260420,GUJARAT,ZAA,cod,3,3,,,,,,,,,,,,,,0,1,0
20260623,DAMAN AND DIU DADRA AND NAGAR HAVELI,KIC,pp,1,1,,,,,,,,,,,,,,,,
20260416,TELANGANA,UNC,pp,10,9,,,,,,2,0,,,,,,,,,
20260429,MADHYA PRADESH,PRE,pp,2,2,,,,,,,,,,,,,,,,
20260616,KERALA,ZAA,cod,1,1,,,,,,,,,,,,,,,,
20260609,JHARKHAND,LOI,pp,3,3,,,,1,1,,,,,,,,,0,1,0
20260527,NAGALAND,DBL,pp,1,1,,,,,,,,,,,,,,,,
20260624,MAHARASHTRA,ZEB,pp,1,1,,,,,,,,,,,,,,,,
20260418,HIMACHAL PRADESH,PRH,cod,1,0,,,,,,,,,,,,,,,,
20260518,DELHI,ESL,pp,1,1,,,,,,,,,,,,,,,,
20260528,ASSAM,SDD,cod,1,1,,,,,,,,,,,,,,,,
20260625,MAHARASHTRA,TUN,pp,1,1,,,,,,1,0,,,,,,,,,
20260421,JAMMU AND KASHMIR,LOI,pp,1,1,,,,,,,,,,,,,,,,
20260608,JHARKHAND,WZO,pp,1,1,,,,,,,,,,,,,,,,
20260421,PUNJAB,VSL,pp,1,1,,,,,,,,,,,,,,,,
20260505,WEST BENGAL,SWL,pp,5,4,,,,1,1,,,,,,,,,0,3,0
20260623,HARYANA,IOH,pp,1,1,,,,,,,,,,,,,,0,2,0
20260516,RAJASTHAN,EML,pp,1,1,,,,,,,,,,,,,,,,
20260612,KARNATAKA,RSL,cod,1,1,,,,,,,,,,,,,,,,
20260528,UTTARAKHAND,DBL,pp,2,2,,,,,,,,,,,,,,,,
20260617,GOA,IGS,pp,1,1,,,,,,,,,,,,,,,,
20260605,TAMIL NADU,NEX,pp,3,3,,,,,,1,0,,,,,,,,,
20260708,JAMMU AND KASHMIR,LOS,pp,1,1,,,,,,,,,,,,,,,,
20260704,KERALA,XIH,pp,1,1,,,,,,,,,,,,,,,,
20260624,ODISHA,ESA,cod,1,1,,,,,,,,,,,,,,,,
